2021-12-12 21:12:298 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:293 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-12 21:12:504 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:590 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //button[normalize-space()='Login']]
2021-12-12 21:12:219 INFO  AccountPage :56 - Clicking on Deposit Tab : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-12 21:12:299 INFO  AccountPage :62 - Entering deposit Amount : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //input[@placeholder='amount']]
2021-12-12 21:12:385 INFO  AccountPage :68 - Clicking on Deposit Button : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //button[@type='submit']]
2021-12-12 21:12:436 INFO  AccountPage :76 - Verifying successful deposit message : [[ChromeDriver: chrome on WINDOWS (60f2558e926ed1b699b8ad7fe8bd02ac)] -> xpath: //span[contains(normalize-space(),'Deposit Successful')]]
2021-12-12 21:12:201 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:224 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:179 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:515 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-12 21:12:804 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:897 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //button[normalize-space()='Login']]
2021-12-12 21:12:297 INFO  AccountPage :56 - Clicking on Deposit Tab : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-12 21:12:798 INFO  AccountPage :62 - Entering deposit Amount : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //input[@placeholder='amount']]
2021-12-12 21:12:886 INFO  AccountPage :68 - Clicking on Deposit Button : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //button[@type='submit']]
2021-12-12 21:12:934 INFO  AccountPage :76 - Verifying successful deposit message : [[ChromeDriver: chrome on WINDOWS (8929a0509cc95bf035247aedbf16f9ee)] -> xpath: //span[contains(normalize-space(),'Deposit Successful')]]
2021-12-12 21:12:692 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:403 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (21fa85d1cf7f3d87c61ab52bb06a8a55)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-12 21:12:803 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (21fa85d1cf7f3d87c61ab52bb06a8a55)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:881 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (21fa85d1cf7f3d87c61ab52bb06a8a55)] -> xpath: //button[normalize-space()='Login']]
2021-12-12 21:12:254 INFO  CustomersPage :48 - Verifying user can logout successfullyHarry Potter
2021-12-12 21:12:03 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:701 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (67aec6091ab8d4bbddd91c37cf32d893)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-12 21:12:102 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (67aec6091ab8d4bbddd91c37cf32d893)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:183 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (67aec6091ab8d4bbddd91c37cf32d893)] -> xpath: //button[normalize-space()='Login']]
2021-12-12 21:12:570 INFO  CustomersPage :48 - Verifying user can logout successfullyHarry Potter
2021-12-12 21:12:700 INFO  CustomersPage :41 - Verifying logout button displayed : [[ChromeDriver: chrome on WINDOWS (67aec6091ab8d4bbddd91c37cf32d893)] -> xpath: //button[normalize-space()='Logout']]
2021-12-12 21:12:537 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:04 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-12 21:12:417 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:483 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[normalize-space()='Login']]
2021-12-12 21:12:63 INFO  AccountPage :56 - Clicking on Deposit Tab : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-12 21:12:470 INFO  AccountPage :62 - Entering deposit Amount : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //input[@placeholder='amount']]
2021-12-12 21:12:552 INFO  AccountPage :68 - Clicking on Deposit Button : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[@type='submit']]
2021-12-12 21:12:636 INFO  AccountPage :83 - Click on withdrawl tab : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[normalize-space()='Withdrawl']]
2021-12-12 21:12:747 INFO  AccountPage :90 - Enter withdrawl amount : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: (//input[@placeholder='amount'])[1]]
2021-12-12 21:12:829 INFO  AccountPage :97 - Click on withdrawl button : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //button[normalize-space()='Withdraw']]
2021-12-12 21:12:891 INFO  AccountPage :106 - Verify Transaction successful message : [[ChromeDriver: chrome on WINDOWS (7e80623ed3e9780022aada5ef7f6ca7f)] -> xpath: //span[contains(normalize-space(),'Transaction successful')]]
2021-12-12 21:12:625 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:828 INFO  HomePage :31 - Clicking on bank manager log in tab : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 21:12:175 INFO  BankManagerLoginPage :30 - Click on add customer tab : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-12 21:12:560 INFO  AddCustomerPage :40 - Add customer's first name : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //input[@placeholder='First Name']]
2021-12-12 21:12:660 INFO  AddCustomerPage :49 - Add customer's last name : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //input[@placeholder='Last Name']]
2021-12-12 21:12:783 INFO  AddCustomerPage :58 - Add customer's postcode : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //input[@placeholder='Post Code']]
2021-12-12 21:12:871 INFO  AddCustomerPage :65 - Click on add customer button : [[ChromeDriver: chrome on WINDOWS (a94a50f2f06da7fb7fb4ba14afecf4d6)] -> xpath: //button[@type='submit']]
2021-12-12 21:12:883 INFO  AddCustomerPage :73 - Verify successful addition message : Customer added succe
2021-12-12 21:12:897 INFO  AddCustomerPage :81 - Accept alert
2021-12-12 21:12:620 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-12 21:12:199 INFO  HomePage :31 - Clicking on bank manager log in tab : [[ChromeDriver: chrome on WINDOWS (984b5f081686ce1066c3fd12b742d93c)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-12 21:12:685 INFO  BankManagerLoginPage :36 - Click on open account tab : [[ChromeDriver: chrome on WINDOWS (984b5f081686ce1066c3fd12b742d93c)] -> xpath: //button[normalize-space()='Open Account']]
2021-12-12 21:12:151 INFO  OpenAccountPage :34 - Search customer name to open account : [[ChromeDriver: chrome on WINDOWS (984b5f081686ce1066c3fd12b742d93c)] -> xpath: //select[@id='userSelect']]
2021-12-12 21:12:320 INFO  OpenAccountPage :40 - Select currency : [[ChromeDriver: chrome on WINDOWS (984b5f081686ce1066c3fd12b742d93c)] -> xpath: //select[@id='currency']]
2021-12-12 21:12:442 INFO  OpenAccountPage :55 - Verifying new account created message : Account created successfully with account Number :1016
2021-12-12 21:12:455 INFO  OpenAccountPage :60 - Accepting new account created successfully alert
2021-12-15 21:12:876 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:308 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-15 21:12:500 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //select[@id='userSelect']]
2021-12-15 21:12:301 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //button[normalize-space()='Login']]
2021-12-15 21:12:877 INFO  AccountPage :56 - Clicking on Deposit Tab : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-15 21:12:361 INFO  AccountPage :62 - Entering deposit Amount : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //input[@placeholder='amount']]
2021-12-15 21:12:605 INFO  AccountPage :68 - Clicking on Deposit Button : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //button[@type='submit']]
2021-12-15 21:12:788 INFO  AccountPage :76 - Verifying successful deposit message : [[ChromeDriver: chrome on WINDOWS (4df53c35ba5fc6e3c82bf10a5d36bcba)] -> xpath: //span[contains(normalize-space(),'Deposit Successful')]]
2021-12-15 21:12:126 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:504 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (22074d746183a9c06361429915ee02d0)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-15 21:12:601 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (22074d746183a9c06361429915ee02d0)] -> xpath: //select[@id='userSelect']]
2021-12-15 21:12:76 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (22074d746183a9c06361429915ee02d0)] -> xpath: //button[normalize-space()='Login']]
2021-12-15 21:12:574 INFO  CustomersPage :48 - Verifying user can logout successfullyHarry Potter
2021-12-15 21:12:416 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:23 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (3d099839231919265f0106ac021e858c)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-15 21:12:285 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (3d099839231919265f0106ac021e858c)] -> xpath: //select[@id='userSelect']]
2021-12-15 21:12:591 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (3d099839231919265f0106ac021e858c)] -> xpath: //button[normalize-space()='Login']]
2021-12-15 21:12:248 INFO  CustomersPage :48 - Verifying user can logout successfullyHarry Potter
2021-12-15 21:12:490 INFO  CustomersPage :41 - Verifying logout button displayed : [[ChromeDriver: chrome on WINDOWS (3d099839231919265f0106ac021e858c)] -> xpath: //button[normalize-space()='Logout']]
2021-12-15 21:12:38 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:28 INFO  HomePage :38 - Clicking on customer log in tab : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[normalize-space()='Customer Login']]
2021-12-15 21:12:199 INFO  CustomerLoginPage :31 - Search customer name : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //select[@id='userSelect']]
2021-12-15 21:12:501 INFO  CustomerLoginPage :37 - Click on Log in button : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[normalize-space()='Login']]
2021-12-15 21:12:100 INFO  AccountPage :56 - Clicking on Deposit Tab : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[normalize-space()='Deposit']]
2021-12-15 21:12:703 INFO  AccountPage :62 - Entering deposit Amount : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //input[@placeholder='amount']]
2021-12-15 21:12:72 INFO  AccountPage :68 - Clicking on Deposit Button : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[@type='submit']]
2021-12-15 21:12:368 INFO  AccountPage :83 - Click on withdrawl tab : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[normalize-space()='Withdrawl']]
2021-12-15 21:12:492 INFO  AccountPage :90 - Enter withdrawl amount : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: (//input[@placeholder='amount'])[1]]
2021-12-15 21:12:643 INFO  AccountPage :97 - Click on withdrawl button : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //button[normalize-space()='Withdraw']]
2021-12-15 21:12:708 INFO  AccountPage :106 - Verify Transaction successful message : [[ChromeDriver: chrome on WINDOWS (d2e396211e584a962873f746caff2289)] -> xpath: //span[contains(normalize-space(),'Transaction successful')]]
2021-12-15 21:12:546 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:749 INFO  HomePage :31 - Clicking on bank manager log in tab : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-15 21:12:140 INFO  BankManagerLoginPage :30 - Click on add customer tab : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //button[normalize-space()='Add Customer']]
2021-12-15 21:12:19 INFO  AddCustomerPage :40 - Add customer's first name : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //input[@placeholder='First Name']]
2021-12-15 21:12:969 INFO  AddCustomerPage :49 - Add customer's last name : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //input[@placeholder='Last Name']]
2021-12-15 21:12:291 INFO  AddCustomerPage :58 - Add customer's postcode : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //input[@placeholder='Post Code']]
2021-12-15 21:12:498 INFO  AddCustomerPage :65 - Click on add customer button : [[ChromeDriver: chrome on WINDOWS (f9bd4bec952fadb80dfa8b722a258db2)] -> xpath: //button[@type='submit']]
2021-12-15 21:12:539 INFO  AddCustomerPage :73 - Verify successful addition message : Customer added succe
2021-12-15 21:12:620 INFO  AddCustomerPage :81 - Accept alert
2021-12-15 21:12:536 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 21:12:160 INFO  HomePage :31 - Clicking on bank manager log in tab : [[ChromeDriver: chrome on WINDOWS (9d1e600c1a2eccb763cd139dfcf7d4b1)] -> xpath: //button[normalize-space()='Bank Manager Login']]
2021-12-15 21:12:803 INFO  BankManagerLoginPage :36 - Click on open account tab : [[ChromeDriver: chrome on WINDOWS (9d1e600c1a2eccb763cd139dfcf7d4b1)] -> xpath: //button[normalize-space()='Open Account']]
2021-12-15 21:12:302 INFO  OpenAccountPage :34 - Search customer name to open account : [[ChromeDriver: chrome on WINDOWS (9d1e600c1a2eccb763cd139dfcf7d4b1)] -> xpath: //select[@id='userSelect']]
2021-12-15 21:12:997 INFO  OpenAccountPage :40 - Select currency : [[ChromeDriver: chrome on WINDOWS (9d1e600c1a2eccb763cd139dfcf7d4b1)] -> xpath: //select[@id='currency']]
2021-12-15 21:12:203 INFO  OpenAccountPage :55 - Verifying new account created message : Account created successfully with account Number :1016
2021-12-15 21:12:250 INFO  OpenAccountPage :60 - Accepting new account created successfully alert
